pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt,ESI_equal,ESI_sm,CDHS,mass_est,SEPHI_simple,recon_error,latent_dist,VAE_anomaly,mass_est_planet
TOI-5789 c,2.86,5.0,0.21052631578947367,8.7194,5185.0,0.067,718.0,0.42580734305856494,0.10468029051645908,0.06996313511778894,20.62970886461944,3.505048671028373e-79,0.17266247,0.9648161390788885,0.024504871053259655,4.924980210526315
TRAPPIST-1 e,0.92,0.692,0.8895834845735028,0.646,2566.0,0.0051,249.7,0.7275304685658907,0.6017369271883305,0.0,2.9016084199810463,0.847036212035906,2.329867,0.4765033580264911,0.024302301379966775,0.6927079844355718
Kepler-1593 b,3.17,,0.3194192377495463,0.889,4995.0,0.0,260.0,0.0,0.0,0.0,42.62137584624826,0.9876978285360268,0.49268627,0.8755725264521282,0.02406059825357259,10.175103970961887
HD 48948 d,3.24,,0.3103448275862069,2.46,4593.0,0.055,349.0,0.5563242773675672,0.35806441505648134,0.05414863493079975,44.214849538200184,0.4238771558308905,0.34415627,0.9019518212213523,0.023895993772872236,10.55551779310345
EPIC 212737443 c,2.69,,0.3938294010889292,2.2653,4684.0,0.2,316.0,0.4815393183342261,0.3235230571146745,0.05657958006089569,32.11098179201991,0.7421523341431797,0.46830225,0.8731426420544752,0.023866905287361462,7.665932219600725
Kepler-1533 b,3.46,,0.28493647912885667,4.786,6431.0,0.0,330.0,0.0,0.0,0.0,49.43846286290655,3.249337426787381e-14,0.35669172,0.8945301466528924,0.023781803267877977,11.80256361524501
GJ 3323 b,1.23,,1.0816696914700545,2.58,3159.0,0.23,290.06,0.5403698280111578,0.32654026188132956,0.015841213869743864,8.431378859089113,0.24683747633298436,1.6594461,0.5895104488724668,0.023409894550580228,2.0128434337568057
TOI-2285 b,1.77,19.5,0.8395106365121066,3.91,3491.0,0.3,358.0,0.463211782957269,0.21256181258130136,0.024710156542179215,19.5,4.506573230064118e-07,1.380192,0.6493644714883414,0.023353308111487673,4.655282085437938
Kepler-37 d,2.03,2.0,0.23593466424682397,10.39,5357.0,0.1,499.0,0.41416307957164894,0.08625901498419673,0.07455788855049632,8.267390976296237,4.6132026507544446e-123,0.20184143,0.9057091576667999,0.023207783542616194,1.973694210526315
GJ 674 b,3.33,,0.29945553539019965,10.5165,3600.0,0.2,530.8,0.33743681626847544,0.0729109585952001,0.027621947961741784,46.31841133282155,9.913373955554627e-127,0.70839846,0.7919078319797479,0.02318153605048079,11.057706179673321
Kepler-1126 c,1.45,,0.883847549909256,2.06,5678.0,0.0,305.0,0.0,0.0,0.0,11.286777880287813,0.9450291796887834,0.63279086,0.8083994341751679,0.02317327165278039,2.694519736842105
K2-3 d,1.458,2.2,3.176043557168784,1.44,3844.0,0.091,305.2,0.6021246537442927,0.5124518849627244,0.03414008655233214,41.233256066051815,0.9987957952210188,1.6702955,0.5738248785181861,0.023082720281357966,9.843714784029038
GJ 3082 b,2.79,,0.3756805807622504,5.521,3910.0,0.22,457.53,0.39864994608137444,0.14328543591728174,0.03590318961371433,34.17590043095715,2.8618288520345696e-22,0.65852606,0.797081216475497,0.023035441618493944,8.1588952323049
Kepler-351 b,3.06,4.8,0.16715063520871146,11.983,5643.0,0.0,498.0,0.0,0.0,0.0,20.06138534667217,7.034398845214146e-174,0.25413066,0.8845334097431313,0.022972626991216622,4.78930296479129
HN Lib b,2.2,,0.5117967332123412,0.503,3347.0,0.079,234.4,0.5916816448435048,0.4321449545001043,0.020863386226422937,22.827279753828442,0.9771445338670874,1.2543894,0.6617054956716163,0.022967311837317022,5.4496116152450105
