pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt
"Kepler-361 c",2.52000000,,2.370000,33.9480,6169.00,0.000000,568.00
"Kepler-1778 b",3.01665969,,1.870000,186.1400,6310.00,0.000000,942.00
"Kepler-1005 b",1.50000000,,4.660000,301.3290,5782.00,0.000000,1026.00
"Kepler-346 b",2.66000000,,2.210000,134.3570,6033.00,0.000000,1008.00
"TOI-5728 b",1.31000000,,5.550000,3.5120,3419.00,,382.00
"Kepler-421 b",4.16000000,,1.230000,0.2000,5308.00,0.041000,185.00
"Kepler-688 b",9.76000000,,0.406000,458.9120,5715.00,0.000000,1005.00
"Kepler-123 c",1.48000000,,4.730000,77.3990,6089.00,0.000000,706.00
"Kepler-614 b",2.39000000,,2.540000,37.2000,5268.00,0.000000,641.00
"Kepler-1079 b",1.63000000,,4.170000,195.3530,5758.00,0.000000,887.00
"Kepler-211 b",1.26000000,,5.850000,158.1880,5123.00,0.000000,954.00
"Kepler-870 b",2.78000000,,2.080000,54.8690,5857.00,0.000000,691.00
"Kepler-257 c",5.41000000,,0.875000,88.6000,5180.00,0.000000,881.00
"Kepler-1724 b",2.83677238,,2.030000,234.9800,6092.00,0.000000,999.00
"TOI-5398 b",10.30000000,5.87000000000000e+01,0.290000,118.4130,6000.00,0.130000,947.00
