pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt,ESI_equal,ESI_sm,CDHS,mass,SEPHI_simple,VAE_anomaly
Kepler-351 b,3.06,4.8,0.16715063520871146,11.983,5643.0,0.0,498.0,0.0,0.0,0.0,20.06138534667217,7.034398845214146e-174,0.009866684907222685
Kepler-199 b,3.11,,0.3266787658802178,31.679,5644.0,0.0,595.0,0.0,0.0,0.0,41.16145164190952,0.0,0.009862071559539219
Kepler-1712 b,2.28372556,,0.4882032667876588,5.52,3732.0,0.0,391.0,0.0,0.0,0.0,24.356844775034283,2.9257462836652204e-22,0.009861345791127109
TOI-700 d,1.073,,1.0090744101633393,0.85,3459.0,0.042,268.8,0.8223561941460674,0.7767233047069754,0.023855318694232602,5.221688590446678,0.9105000545928659,0.009856443382919222
Kepler-571 b,2.64,,0.4047186932849365,219.036,5527.0,0.0,978.0,0.0,0.0,0.0,31.19274925340165,0.0,0.009848597581645573
TOI-1452 b,1.672,4.82,1.0163339382940109,1.8,3185.0,0.0,326.0,0.0,0.0,0.0,19.89911934766415,0.9833541550253405,0.0098413898728904
XO-2 N b,11.130537,199.91507,0.1297640653357532,428.036,5290.0,0.0,1328.0,0.0,0.0,0.0,749.5341162263012,0.0,0.009838332085344355
K2-292 b,2.63,24.5,1.3430127041742288,67.0,5725.0,0.04,795.0,0.3817785429329562,0.015863467791597835,0.0843885238018848,102.33777623107652,0.0,0.009832448590601214
Kepler-1036 b,3.01,,0.3411978221415608,2.821,5533.0,0.0,326.0,0.0,0.0,0.0,38.97573793300523,0.06655078438274858,0.0098231815372152
tau Cet g,1.18,,1.0617059891107077,27.9835,5310.0,0.06,639.65,0.4805025168692785,0.041905075750390604,0.07330234546133718,7.306996485361336,0.0,0.009819298652475961
Kepler-729 b,3.58,,0.2722323049001815,1089.549,5633.0,0.0,1273.0,0.0,0.0,0.0,52.321158238103905,0.0,0.009816595143823782
TOI-4342 b,2.329,7.3,0.5771324863883848,27.8,3866.0,0.0,639.0,0.0,0.0,0.0,30.540250576981112,0.0,0.009808945744517423
Kepler-1388 b,2.59,,0.41379310344827586,17.674,4098.0,0.0,434.0,0.0,0.0,0.0,30.114187470357702,0.0,0.009799655812889628
Wolf 1061 b,1.21,,1.074410163339383,7.34,3342.0,0.15,461.1,0.49830804666163686,0.1383750620645565,0.02072981781268164,7.9728726669275805,2.7443059594141156e-50,0.0097944927893087
Kepler-1011 b,2.87,,0.3629764065335753,108.788,5416.0,0.0,920.0,0.0,0.0,0.0,35.9428653823958,0.0,0.009785557860981176
Kepler-1462 b,3.82,,0.25045372050816694,4.704,5756.0,0.0,390.0,0.0,0.0,0.0,58.47984132756573,1.970689600221606e-13,0.009776883825364627
Kepler-1315 b,1.38,,0.9419237749546281,897.9,4861.0,0.0,1541.0,0.0,0.0,0.0,10.36911348150106,0.0,0.00977379047518709
Kepler-49 d,1.6,235.982,3.6297640653357535,64.39,4252.0,0.0,717.0,0.0,0.0,0.0,62.27689538586229,0.0,0.009767186469626389
Kepler-563 b,3.09,,0.33030852994555354,18.738,5066.0,0.0,546.0,0.0,0.0,0.0,40.8210185358893,0.0,0.009762953764421775
HIP 9618 c,3.42855926,7.0,0.18148820326678766,11.7,5649.0,0.0,470.31,0.0,0.0,0.0,30.6388169089695,3.4281018922082334e-164,0.009756805277654433
TOI-178 d,2.695,5.2,0.2651738656987296,24.9125,4316.0,0.0068,690.0,0.3868772416942254,0.03892774510040738,0.04674894480952783,21.741807072026457,0.0,0.009732294172810267
Kepler-749 b,3.1,,0.3284936479128857,24.631,5009.0,0.0,454.0,0.0,0.0,0.0,40.99214712764654,0.0,0.009723009993441294
TOI-270 d,2.0,4.2,0.5263157894736842,9.2135,3506.0,0.0066,383.0,0.5213677760243354,0.12265408690501595,0.02511086178340332,17.637011388574276,3.91210072389973e-91,0.009722142353253693
TOI-4201 b,13.67495645,788.21444936,0.33030852994555354,45.2,3794.0,0.041,725.0,0.2665058692517462,0.017900770189583828,0.032804402414916715,3538.2315784660213,0.0,0.009717828435935947
Kepler-406 c,0.85,2.71,4.426497277676951,349.769,5538.0,0.0,1050.0,0.0,0.0,0.0,11.386902129638337,0.0,0.00970996574991571
Kepler-1669 b,2.78043818,,0.37749546279491836,18.66,4303.0,0.0,530.0,0.0,0.0,0.0,33.98913214790143,0.0,0.009709950606105702
